model,apparent_auc,optimism,corrected_auc,n_boot
M0_clinical,0.7942449707155589,0.02358372332557964,0.7706612473899792,500
M1_iliopsoas,0.802393684746626,0.03435265456897625,0.7680410301776497,500
M2_multimuscle,0.8333333333333333,0.043818947657444846,0.7895143856758884,500
