threshold,nb_treat_none,nb_treat_all,nb_M0_clinical,nb_M2_multimuscle,nb_M0_clinical_lo,nb_M0_clinical_hi,nb_M2_multimuscle_lo,nb_M2_multimuscle_hi
0.05,0.0,0.2092426187419769,0.21540436456996148,0.21797175866495508,0.15789473684210525,0.2765083440308087,0.15813863928112967,0.27806803594351726
0.060000000000000005,0.0,0.20083030617540218,0.19647119875454075,0.2071613907628438,0.14052413077322262,0.2581292163985469,0.14582252205500779,0.26523092890503364
0.07,0.0,0.19223708366115919,0.1911880409126672,0.1922895357985838,0.13531733543141883,0.2530382900603199,0.12920535011801731,0.2544977707841594
0.08000000000000002,0.0,0.18345705196182394,0.18133616118769882,0.18748674443266172,0.12661187698833506,0.24454931071049835,0.12508483563096498,0.2494379639448568
0.09000000000000001,0.0,0.174484052532833,0.17764674350040205,0.1849370142053069,0.12306486196730099,0.24149021709997318,0.12151165907263468,0.24728088984186541
0.1,0.0,0.16531165311653118,0.17289972899728998,0.17777777777777778,0.11707317073170731,0.23741192411924114,0.11542005420054201,0.23907859078590776
0.11000000000000001,0.0,0.1559331323650315,0.16590846807344478,0.17500685119210743,0.11042751438750342,0.22873526993696902,0.11216497670594684,0.23834338174842415
0.12000000000000002,0.0,0.14634146341463414,0.16252771618625278,0.1629711751662971,0.10619733924611974,0.22552660753880266,0.10332039911308204,0.22661308203991132
0.13,0.0,0.13652929632744604,0.1519484160358845,0.15486403139893468,0.09733669750490609,0.21509531819456126,0.09559293523969722,0.2170577516119989
0.14,0.0,0.1264889393079977,0.14702212138400453,0.15587067498581963,0.091091888825865,0.2103261486103233,0.09652297220646626,0.21894781622234827
0.15000000000000002,0.0,0.11621233859397415,0.14605451936872307,0.14691535150645624,0.08949784791965565,0.20977044476327114,0.08807747489239597,0.2109038737446198
0.16000000000000003,0.0,0.10569105691056907,0.1398373983739837,0.14076655052264805,0.08455284552845527,0.20398373983739834,0.08150406504065039,0.20464576074332172
0.17000000000000004,0.0,0.0949162503673229,0.13106082868057595,0.13305906553041433,0.07514692918013514,0.19459594475462824,0.0742653540993241,0.19847193652659417
0.18000000000000002,0.0,0.08387864366448541,0.12825698988697204,0.13254015466983937,0.07089827483640689,0.19215942891136228,0.07305175490779298,0.19704937537180248
0.19000000000000003,0.0,0.07256850346281238,0.12189099668774465,0.10581150255947001,0.06363444745558564,0.1826633544113219,0.05158988256549231,0.1660478771454381
0.20000000000000004,0.0,0.060975609756097504,0.11585365853658536,0.10365853658536583,0.058536585365853655,0.17926829268292682,0.04878048780487804,0.16344512195121946
0.21000000000000002,0.0,0.049089225069465864,0.11145415251620869,0.10429144797777089,0.055171349181846255,0.17481630132757023,0.050007718431614695,0.16511268910157453
0.22000000000000003,0.0,0.03689806128830514,0.10969355847404626,0.0991869918699187,0.05189493433395872,0.17286429018136334,0.04365228267667291,0.16198561601000622
0.23000000000000004,0.0,0.02439024390243899,0.1095977193538169,0.10079189103579347,0.051567944250871064,0.17201140323091538,0.04377573645866327,0.1636506176750079
0.24000000000000005,0.0,0.011553273427471089,0.10680359435173298,0.10141206675224647,0.048491655969191264,0.16996790757381253,0.04517971758664954,0.1638318356867779
0.25000000000000006,0.0,-0.001626016260162677,0.10406504065040648,0.0991869918699187,0.045487804878048745,0.16747967479674794,0.042276422764227634,0.16260162601626016
0.26000000000000006,0.0,-0.01516150296638108,0.10336189848384968,0.09703361898483849,0.043628872775214225,0.16704680290046142,0.04085365853658535,0.16071852340145024
0.27,0.0,-0.029067824924824626,0.09802873371199464,0.09675910457734714,0.03715335783494819,0.16307885065152017,0.039692616104243225,0.160507851653859
0.28,0.0,-0.04336043360433611,0.09593495934959348,0.0956639566395664,0.03574525745257451,0.16234417344173438,0.04010840108401083,0.15665311653116526
0.29000000000000004,0.0,-0.058055650979045026,0.08904156647200274,0.09811061490896598,0.029400549639299202,0.15356063208519408,0.042248368258330456,0.15884575747165922
0.30000000000000004,0.0,-0.07317073170731714,0.08641114982578396,0.08989547038327525,0.025069686411149823,0.15052264808362367,0.03343205574912889,0.15400696864111496
0.31000000000000005,0.0,-0.08872393071756812,0.07500883704489217,0.08158359844468008,0.0157529162248144,0.13696889360197947,0.025509013785790003,0.14351360904913393
0.32000000000000006,0.0,-0.1047345767575324,0.0777618364418938,0.07317073170731704,0.020078909612625505,0.1383070301291248,0.014921090387374436,0.13572453371592538
0.33000000000000007,0.0,-0.12122315253003285,0.0645795413178012,0.07673825991991261,0.006259555879140862,0.1252275209319257,0.018491081179468478,0.1397888605751729
0.3400000000000001,0.0,-0.13821138211382128,0.0588322246858832,0.07331855136733183,0.0025092387287509003,0.11579453067257939,0.014486326681448586,0.13673688100517367
0.3500000000000001,0.0,-0.15572232645403394,0.05065666041275796,0.07767354596622886,-0.006013133208255187,0.10807692307692306,0.02137898686679173,0.14259849906191366
0.36000000000000004,0.0,-0.17378048780487815,0.05060975609756095,0.06463414634146337,-0.0021493902439024544,0.10671493902439022,0.008536585365853638,0.12652439024390244
0.37000000000000005,0.0,-0.1924119241192413,0.04545102593883081,0.0592334494773519,-0.008439798683701136,0.10051877661633755,0.006144018583042962,0.12202864885791714
0.38000000000000006,0.0,-0.2116443745082614,0.0355625491738788,0.0412273800157356,-0.01575531077891428,0.08657356412273795,-0.010542879622344653,0.10228166797797009
0.39000000000000007,0.0,-0.23150739704118373,0.035585765693722474,0.034226309476209485,-0.016483406637345113,0.0876449420231907,-0.016483406637345113,0.0923730507796881
0.4000000000000001,0.0,-0.2520325203252035,0.039024390243902404,0.034146341463414595,-0.013008130081300862,0.0910975609756097,-0.01626016260162605,0.09268292682926826
0.4100000000000001,0.0,-0.273253410500207,0.031252583712277765,0.031252583712277765,-0.02025630425795788,0.08344357172385276,-0.017941298057048416,0.08789789169078127
0.4200000000000001,0.0,-0.29520605550883117,0.035323801513877165,0.0388561816652649,-0.017842724978973958,0.08578637510513035,-0.01160639192598828,0.09555508830950374
0.43000000000000005,0.0,-0.31792896876337196,0.04356011981172442,0.03620025673940949,-0.006700898587933269,0.09125802310654683,-0.015062045357295696,0.09362644415917841
0.44000000000000006,0.0,-0.34146341463414653,0.0362369337979094,0.028571428571428567,-0.01465156794425091,0.08398083623693377,-0.022996515679442532,0.08676829268292682
0.45000000000000007,0.0,-0.3658536585365856,0.03192904656319288,0.045676274944567614,-0.01640798226164082,0.07982261640798224,-0.0031042128603104365,0.10066518847006652
0.4600000000000001,0.0,-0.39114724480578156,0.03378500451671181,0.03866305329719962,-0.01627822944896117,0.08238482384823848,-0.011418247515808505,0.09161246612466122
0.4700000000000001,0.0,-0.41739530602853214,0.031017027151403573,0.03156925908881728,-0.02099861942015648,0.07869305108145419,-0.01668430740911185,0.08461113667740448
0.4800000000000001,0.0,-0.44465290806754254,0.02401500938086301,0.0292682926829268,-0.02740150093808634,0.07092870544090053,-0.019193245778611666,0.08332082551594741
0.4900000000000001,0.0,-0.47297943567670997,0.02649450023912002,0.02687709230033474,-0.025638450502152108,0.07451458632233379,-0.021800573888091847,0.08079626972740306
0.5000000000000001,0.0,-0.5024390243902442,0.024390243902438997,0.029268292682926793,-0.02439024390243906,0.07317073170731705,-0.01951219512195125,0.08292682926829267
0.5100000000000001,0.0,-0.5331010452961676,0.022598307615729202,0.037033349925335954,-0.02269785963165758,0.06749626679940267,-0.012344449975112033,0.08721254355400695
0.5200000000000001,0.0,-0.5650406504065045,0.03130081300813006,0.03536585365853657,-0.0142276422764228,0.07560975609756096,-0.010579268292682973,0.08536585365853658
0.5300000000000001,0.0,-0.5983393876491961,0.029787234042553172,0.044421380384016586,-0.01660612350804363,0.07431240269849504,-0.0013803840166061552,0.09507005708354956
0.5400000000000001,0.0,-0.6330858960763527,0.034782608695652154,0.03796394485683984,-0.007635206786850514,0.07550371155885471,-0.007635206786850514,0.08441145281018025
0.55,0.0,-0.6693766937669379,0.033604336043360425,0.03631436314363142,-0.009756097560975625,0.07479674796747968,-0.00976964769647698,0.08346883468834687
0.56,0.0,-0.7073170731707319,0.022616407982261635,0.031042128603104208,-0.019534368070953437,0.06343680709534366,-0.014656319290465637,0.07893569844789357
0.5700000000000001,0.0,-0.7470221213840048,0.021327283040272253,0.029495178672716955,-0.02235110606920024,0.06341747022121384,-0.017473057288712436,0.07816222348269994
0.5800000000000001,0.0,-0.7886178861788622,0.015098722415795574,0.034610917537746796,-0.029500580720092928,0.05481997677119629,-0.011875725900116159,0.07969221835075489
0.5900000000000001,0.0,-0.8322427126710294,0.013682331945270666,0.02831647828673408,-0.03176680547293279,0.05425342058298632,-0.016537775133848916,0.07592207019631171
0.6000000000000001,0.0,-0.8780487804878054,0.0146341463414634,0.017073170731707298,-0.029268292682926852,0.04884146341463409,-0.02682926829268295,0.06341463414634145
0.6100000000000001,0.0,-0.92620387742339,0.021013133208255146,0.015509693558474029,-0.019262038774233922,0.0557848655409631,-0.029033771106941865,0.062163852407754835
0.6200000000000001,0.0,-0.9768934531450582,0.02798459563543003,0.013863928112965322,-0.007445442875481399,0.062163029525032054,-0.031354300385109134,0.06084724005134787
0.6300000000000001,0.0,-1.0303230059327626,0.022412656558998014,0.012129202373104789,-0.01371127224785763,0.05510876730388925,-0.03431443638760716,0.05998681608437706
0.6400000000000001,0.0,-1.0867208672086728,0.02168021680216801,0.014092140921409195,-0.015176151761517636,0.05474254742547425,-0.03414634146341468,0.05853658536585366
0.6500000000000001,0.0,-1.146341463414635,0.020905923344947723,0.021602787456445977,-0.016724738675958212,0.054355400696864106,-0.02371080139372827,0.05993031358885016
0.6600000000000001,0.0,-1.2094691535150655,0.0152080344332855,0.015494978479196533,-0.022955523672883824,0.049067431850789094,-0.032137733142037356,0.05423242467718793
0.6700000000000002,0.0,-1.2764227642276433,0.02424242424242424,0.014190687361419044,-0.010051736881005186,0.05365853658536585,-0.03503325942350337,0.053510716925351066
0.6800000000000002,0.0,-1.3475609756097575,0.023780487804878042,0.007926829268292655,-0.01097560975609758,0.05365853658536585,-0.043292682926829334,0.04817073170731707
0.6900000000000002,0.0,-1.4232887490165236,0.02328874901652242,0.001573564122737979,-0.011959087332808828,0.05365853658536585,-0.05161290322580651,0.042800944138473636
0.7000000000000002,0.0,-1.504065040650408,0.01788617886178861,-2.7755575615628914e-17,-0.017886178861788636,0.04878048780487805,-0.05528455284552853,0.042276422764227634
0.7100000000000002,0.0,-1.5904121110176634,0.017325483599663575,-0.006560134566862937,-0.019007569386038706,0.04878048780487805,-0.05976871320437347,0.03414634146341464
0.7200000000000001,0.0,-1.6829268292682935,0.006968641114982573,-0.013240418118466914,-0.027874564459930327,0.03414634146341464,-0.06829268292682932,0.026480836236933793
0.7300000000000001,0.0,-1.7822944896115638,0.0014453477868111957,-0.01517615176151764,-0.03468834688346886,0.02926829268292683,-0.07280939476061432,0.025835591689250217
0.7400000000000001,0.0,-1.8893058161350853,0.000750469043151963,-0.017260787992495336,-0.03677298311444656,0.02926829268292683,-0.07767354596622894,0.025140712945590987
0.7500000000000001,0.0,-2.0048780487804896,-6.938893903907228e-18,-0.009756097560975625,-0.03902439024390247,0.02926829268292683,-0.06341463414634152,0.02926829268292682
0.7600000000000001,0.0,-2.1300813008130097,-0.0008130081300813108,-0.011382113821138233,-0.04146341463414638,0.02926829268292683,-0.06747967479674803,0.028455284552845517
0.7700000000000001,0.0,-2.266171792152706,-0.001696712619300116,-0.013149522799575843,-0.044114528101802795,0.02926829268292683,-0.07189819724284206,0.02757158006362671
0.7800000000000001,0.0,-2.4146341463414656,-0.002660753880266086,-0.015077605321507783,-0.04700665188470071,0.02926829268292683,-0.07671840354767191,0.02660753880266074
0.7900000000000001,0.0,-2.577235772357726,-0.0037166085946573908,0.0011614401858304133,-0.05017421602787462,0.02926829268292683,-0.04529616724738681,0.03414634146341464
0.8000000000000002,0.0,-2.756097560975612,-0.004878048780487821,-1.734723475976807e-17,-0.05365853658536591,0.02926829268292683,-0.0487804878048781,0.03414634146341464
