term,OR,ci_lo,ci_hi,p
Age acceleration (per SD),1.8570157247463062,1.1886144470066604,2.9859855836719644,0.006117353286935644
Chronological age (per SD),1.595843407840554,1.052884874330351,2.5120303339557366,0.02695450175139733
Female sex,1.789795475060395,0.8616530368002969,3.7822682103633958,0.11884581225376925
ASA class (per SD),1.8575203249291445,1.2439475654181806,2.859983190958346,0.0022016400511465353
