model,slope,intercept,citl
M0_clinical,0.8718085122804069,-0.11891634829594454,-0.003779620724622724
M1_iliopsoas,0.7964345758579303,-0.18436199664174402,-0.0015785179310731626
M2_multimuscle,0.8113544576918009,-0.15559449079769866,0.007771262252584679
