model,n,AAR_OR,ci_lo,ci_hi,p
"Adjusted for age, sex, ASA (BMI subset)",161,1.740513271855337,1.1054081168717025,2.825758761413214,0.016088029157741636
"Adjusted for age, sex, ASA, BMI",161,1.808187636708039,1.1422794302105146,2.955310652891407,0.010841266564810393
