threshold,delta_nb,delta_lo,delta_hi
0.1,0.004878048780487809,-0.010298102981029789,0.01951219512195121
0.11,0.00909838311866265,-0.007344477939161404,0.02734995889284733
0.12,0.00044345898004433115,-0.021291574279379197,0.022178492239467832
0.13,0.0029156153630501835,-0.0209700028034763,0.026801233529576668
0.13999999999999999,0.008848553601815107,-0.013840045377197963,0.03165059557572318
0.14999999999999997,0.0008608321377331363,-0.019512195121951237,0.02123385939741751
0.15999999999999998,0.0009291521486643473,-0.024854819976771178,0.02578977932636466
0.16999999999999998,0.0019982368498383807,-0.022394945636203353,0.027387599177196575
0.17999999999999997,0.00428316478286736,-0.021177870315288533,0.02914931588340272
0.18999999999999995,-0.016079494128274627,-0.04161397169527249,0.008009635651912041
0.19999999999999996,-0.012195121951219523,-0.036615853658536604,0.009756097560975618
0.20999999999999996,-0.007162704538437786,-0.030263970361222598,0.014950602037665923
0.21999999999999995,-0.010506566604127562,-0.03277048155096936,0.00963101938711694
0.22999999999999993,-0.008805828318023429,-0.030736458663287957,0.011149825783972125
0.23999999999999994,-0.005391527599486509,-0.027984595635430043,0.014890885750962757
0.24999999999999994,-0.004878048780487795,-0.027642276422764206,0.016260162601626008
0.2599999999999999,-0.006328279499011186,-0.030718523401450232,0.0168754119973632
0.2699999999999999,-0.0012696291346474958,-0.026929502171734065,0.023655195456064163
0.2799999999999999,-0.0002710027100270851,-0.02792005420054201,0.02764227642276422
0.2899999999999999,0.00906904843696324,-0.021298522844383383,0.04053589831672964
0.29999999999999993,0.0034843205574912745,-0.029268292682926814,0.03693379790940765
0.3099999999999999,0.0065747613997879095,-0.03026334393778723,0.04363202545068923
0.3199999999999999,-0.004591104734576759,-0.04563127690100432,0.03676470588235272
0.3299999999999999,0.012158718602111401,-0.03159810702584635,0.05817437204222786
0.33999999999999986,0.014486326681448627,-0.02719881744271989,0.05868440502586843
0.34999999999999987,0.0270168855534709,-0.015018761726078819,0.07166979362101311
0.3599999999999999,0.014024390243902424,-0.02621951219512192,0.05459603658536575
0.3699999999999999,0.01378242353852109,-0.024080526519550893,0.05250483933410756
0.3799999999999999,0.005664830841856802,-0.03036978756884344,0.044236821400471936
0.38999999999999985,-0.0013594562175129887,-0.035115953618552576,0.032387045181927226
0.39999999999999986,-0.004878048780487795,-0.03902439024390242,0.02926829268292684
