spec,n,AAR_OR,ci_lo,ci_hi,p
scanner_robust,192,1.8570157247463062,1.1886144470066604,2.9859855836719644,0.006117353286935644
intensity_ratio_only,192,2.127748117765816,1.4061958866065054,3.3454213023007653,0.00024877813630636665
volume_only,192,1.0455348580114092,0.7200865106172251,1.6319626145269337,0.8342305902341579
