spec,n,lambda,age_R2,MAE,corr_aar_age
scanner_robust,192,30.0,0.22632446167271858,8.460121425462185,-8.128111912053648e-16
intensity_ratio_only,192,3.0,0.2334823224736673,8.668182387915857,-1.0566683314621298e-15
volume_only,192,30.0,0.12093824492864824,9.026076232288657,-2.1406103227861165e-15
