spec,model,n,AAR_OR,ci_lo,ci_hi,p
scanner_robust,crude,192,1.854458221069236,1.2508506994914947,2.828313940549862,0.00166843777642355
scanner_robust,adj_age,192,2.0017517191649206,1.316249986447235,3.141906254803016,0.0008562279611491464
scanner_robust,adj_age_sex_asa,192,1.840365408838287,1.1791857154666592,2.9546758115094245,0.006787123944408849
