comparison,auc1,auc2,delta_auc,se,z,p,NRI,NRI_lo,NRI_hi,NRI_p,IDI,IDI_lo,IDI_hi,IDI_p
M0_clinical->M1_iliopsoas,0.765215176979883,0.7549019607843137,-0.010313216195569241,0.018733936027551742,-0.5505098437617026,0.5819697270468441,0.3855360325948561,0.08474662592309662,0.6605869620575487,0.015,0.0016550922396171286,-0.025123506322441536,0.02180746258445166,0.812
M1_iliopsoas->M2_multimuscle,0.7549019607843137,0.7706900942195061,0.015788133435192364,0.016497098937681837,0.9570248378113264,0.3385547185689105,0.3575248281130634,0.04456327985739755,0.6577540106951871,0.017,0.018258078220755786,-0.008202441514491433,0.04784722457615413,0.211
M0_clinical->M2_multimuscle,0.765215176979883,0.7706900942195061,0.005474917239623123,0.02080611371597171,0.2631398306460437,0.7924428049711884,0.5278838808250573,0.21415202444614212,0.8276101349630761,0.0,0.019913170460372914,-0.016604676204848873,0.053884486128425814,0.28
