model,n,AAR_OR,ci_lo,ci_hi,p
"Adjusted for age, sex, ASA",192,1.8570157247463062,1.1886144470066604,2.9859855836719644,0.006117353286935644
+ number of operated levels,191,1.7358284114005176,1.0982934364037775,2.8125865468518287,0.017747357728774157
+ levels + fusion,191,1.8614334490388844,1.1641019343591708,3.057108468160106,0.009185975253187373
+ levels + fusion + operative time,161,1.9026740303676863,1.1531145919202663,3.2616714139962713,0.01138732365667257
