model,n,events,AUC,AUC_lo,AUC_hi,AUC_cv_mean,AUC_cv_sd,Brier
M0_clinical,205,51,0.765215176979883,0.686493828300551,0.835347881087919,0.7618500127323656,0.007463843837926124,0.15490120396790438
M1_iliopsoas,205,51,0.7549019607843137,0.6788546359293797,0.8294447674418605,0.7529462694168576,0.008454933537164028,0.15720837867094023
M2_multimuscle,205,51,0.7706900942195059,0.6951293821515256,0.8419605936676173,0.7698637636872934,0.009641898553262763,0.1546776808492117
